year,congress,statabb,district,name,party,aauw,age,bday,srvlng,female,white,rgroup,ngirls,nboys,demvote
1997-1998,105,OH,19,"LATOURETTE, STEVEN C.",2,25,42,22jul1954,3,0,1,1,3,1,.47999999
1997-1998,105,NY,2,"LAZIO, RICK A.",2,50,38,13mar1958,5,0,1,2,2,0,.54000002
1997-1998,105,IA,1,"LEACH, JAMES",2,75,54,15oct1942,21,0,1,1,1,1,.54000002
1997-1998,105,TX,18,"LEE, SHEILA JACKSON",1,100,47,12jan1950,3,1,0,1,1,1,.73000002
1997-1998,105,MI,12,"LEVIN, SANDER M.",1,100,65,06sep1931,15,0,1,4,2,2,.51999998
1997-1998,105,CA,40,"LEWIS, JERRY",2,13,62,21oct1934,19,0,1,1,2,5,.38
1997-1998,105,GA,5,"LEWIS, JOHN",1,100,56,21feb1940,11,0,0,1,0,1,.74000001
1997-1998,105,KY,2,"LEWIS, RON",2,0,50,14sep1946,3,0,1,1,1,1,.49000001
1997-1998,105,GA,11,"LINDER, JOHN",2,0,54,09sep1942,5,0,1,1,1,1,.37
1997-1998,105,IL,3,"LIPINSKI, WILLIAM O.",1,25,59,22dec1937,15,0,1,2,1,1,.52999997
1997-1998,105,LA,1,"LIVINGSTON, ROBERT L.",2,0,53,30apr1943,21,0,1,1,1,3,.37
1997-1998,105,NJ,2,"LOBIONDO, FRANK",2,25,50,12may1946,3,0,1,2,2,0,.5
1997-1998,105,CA,16,"LOFGREN, ZOE",1,100,49,21dec1947,3,1,1,0,1,1,.61000001
1997-1998,105,NY,18,"LOWEY, NITA M.",1,100,59,05jul1937,9,1,1,4,2,1,.57999998
1997-1998,105,OK,6,"LUCAS, FRANK D.",2,0,37,06jan1960,3,0,1,1,2,1,.41
1997-1998,105,MN,6,"LUTHER, WILLIAM",1,100,51,27jun1945,3,0,1,2,1,1,.50999999
1997-1998,105,NY,14,"MALONEY, CAROLYN B.",1,100,48,19feb1948,5,0,1,1,2,0,.69999999
1997-1998,105,CT,5,"MALONEY, JAMES H.",1,88,48,17sep1948,1,0,1,2,3,0,.47999999
